HST Discovered Type Ia Supernovae from Table 4 of 
Riess et al (2007)

  Name     z     mu    error 

 997ff    1.755 45.35 0.35 
2002dc    0.475 42.24 0.20 
2002dd    0.950 43.98 0.34 
2003aj    1.307 44.99 0.31 
2002fx    1.400 45.28 0.81 
2003eq    0.840 43.67 0.21 
2003es    0.954 44.30 0.27 
2003az    1.265 44.64 0.25 
2002kc    0.216 40.33 0.19 
2003eb    0.900 43.64 0.25 
2003XX    0.935 43.97 0.29 
2002hr    0.526 43.08 0.27 
2003bd    0.670 43.19 0.24 
2002kd    0.735 43.14 0.19 
2003be    0.640 43.01 0.25 
2003dy    1.340 44.92 0.31 
2002ki    1.140 44.71 0.29 
2003ak    1.551 45.07 0.32 
2002hp    1.305 44.51 0.30 
2002fw    1.300 45.06 0.20 
HST04Pat  0.970 44.67 0.36 
HST04Mcg  1.370 45.23 0.25 
HST05Fer  1.020 43.99 0.27 
HST05Koe  1.230 45.17 0.23 
HST05Dic  0.638 42.89 0.18 
HST04Gre  1.140 44.44 0.31 
HST04Omb  0.975 44.21 0.26 
HST05Red  1.190 43.64 0.39 
HST05Lan  1.230 44.97 0.20 
HST04Tha  0.954 43.85 0.27 
HST04Rak  0.740 43.38 0.22 
HST05Zwi  0.521 42.05 0.37 
HST04Hawk 0.490 42.54 0.24 
HST04Kur  0.359 41.23 0.39 
HST04Yow  0.460 42.23 0.32 
HST04Man  0.854 43.96 0.29 
HST05Spo  0.839 43.45 0.20 
HST04Eag  1.020 44.52 0.19 
HST05Gab  1.120 44.67 0.18 
HST05Str  1.010 44.77 0.19 
HST04Sas  1.390 44.90 0.19 
